srrecordid,servicerequestnum,srtype,methodreceived,createddate,srstatus,statusdate,duedate,agency,lastactivity,address,zipcode,neighborhood,councildistrict,policedistrict,geolocation.latitude,geolocation.longitude,geolocation.human_address,lastactivitydate,outcome,closedate,crimedate,crimetime,crimecode,location,description,inside_outside,weapon,post,district,neighborhood.1,premise,total_incidents,vri_name1,geometry
5004M00000dxuflQAA,20-00315797,SW-Mixed Refuse,Phone,2020-06-04T21:05:11Z,New,2020-06-04T21:05:11Z,2020-06-05T21:05:11Z,Solid Waste,Service Response,"303 N CALHOUN ST, Baltimore City, 21223",21223,FRANKLIN SQUARE,9,Western,39.2923690375939,-76.63960831870925,NA,NA,NA,NA,2020-10-24,14:42:09,9S,300 N CALHOUN ST,SHOOTING,Outside,FIREARM,711,WESTERN,FRANKLIN SQUARE,STREET,1,NA,"c(-76.6396083187093, 39.2923690375939)"
5004M00000eq4sZQAQ,20-00608967,HCD-Illegal Dumping,Phone,2020-09-04T15:33:56Z,New,2020-09-04T15:33:56Z,2020-09-09T15:33:56Z,Housing,Service Response,"200 BLK N WOODYEAR ST, Baltimore City, 21223",21223,FRANKLIN SQUARE,9,Western,39.291614616819125,-76.63902689954544,NA,NA,NA,NA,2020-10-24,14:42:09,9S,300 N CALHOUN ST,SHOOTING,Outside,FIREARM,711,WESTERN,FRANKLIN SQUARE,STREET,1,NA,"c(-76.6390268995454, 39.2916146168191)"
5004M00000fX2zcQAC,20-00637603,SW-Cleaning,API,2020-09-16T19:48:53Z,Open,2020-09-16T19:48:53Z,2020-10-29T19:48:53Z,Solid Waste,Service Response,"239 N CAREY ST, Baltimore City, 21223",21223,POPPLETON,9,Western,39.29207106937679,-76.63816387237237,NA,NA,NA,NA,2020-10-24,14:42:09,9S,300 N CALHOUN ST,SHOOTING,Outside,FIREARM,711,WESTERN,FRANKLIN SQUARE,STREET,1,NA,"c(-76.6381638723724, 39.2920710693768)"
5004M00000fXATgQAO,20-00640967,SW-Cleaning,API,2020-09-17T20:13:42Z,Open,2020-09-17T20:13:42Z,2020-10-30T20:13:42Z,Solid Waste,Service Response,"302 N STRICKER ST, Baltimore City, 21223",21223,FRANKLIN SQUARE,9,Western,39.29229623328956,-76.64133073408168,NA,NA,NA,NA,2020-10-24,14:42:09,9S,300 N CALHOUN ST,SHOOTING,Outside,FIREARM,711,WESTERN,FRANKLIN SQUARE,STREET,1,NA,"c(-76.6413307340817, 39.2922962332896)"
5004M00000fa3fPQAQ,20-00718044,HCD-Illegal Dumping,API,2020-10-20T18:58:27Z,New,2020-10-20T18:58:27Z,2020-10-25T18:58:27Z,Housing,Service Response,"1400 W SARATOGA ST, Baltimore City, 21223",21223,FRANKLIN SQUARE,9,Western,39.29230062268091,-76.6402837111276,NA,NA,NA,NA,2020-10-24,14:42:09,9S,300 N CALHOUN ST,SHOOTING,Outside,FIREARM,711,WESTERN,FRANKLIN SQUARE,STREET,1,NA,"c(-76.6402837111276, 39.2923006226809)"
5004M00000fa4JuQAI,20-00718401,SW-Boarding,API,2020-10-20T20:28:11Z,Open,2020-10-20T20:28:10Z,2020-10-29T20:28:10Z,Solid Waste,Service Response,"1323 W SARATOGA ST, Baltimore City, 21223",21223,FRANKLIN SQUARE,9,Western,39.292104631253416,-76.63942566650687,NA,NA,NA,NA,2020-10-24,14:42:09,9S,300 N CALHOUN ST,SHOOTING,Outside,FIREARM,711,WESTERN,FRANKLIN SQUARE,STREET,1,NA,"c(-76.6394256665069, 39.2921046312534)"
5004M00000fa7fjQAA,20-00719236,SW-HGW,API,2020-10-21T12:53:31Z,Open,2020-10-21T12:53:30Z,2020-12-07T12:53:30Z,Solid Waste,Service Response,"1312 W SARATOGA ST, Baltimore City, 21223",21223,FRANKLIN SQUARE,9,Western,39.29234387101449,-76.63917782729084,NA,NA,NA,NA,2020-10-24,14:42:09,9S,300 N CALHOUN ST,SHOOTING,Outside,FIREARM,711,WESTERN,FRANKLIN SQUARE,STREET,1,NA,"c(-76.6391778272908, 39.2923438710145)"
5004M00000faMycQAE,20-00725622,HCD-Illegal Dumping,API,2020-10-23T13:54:14Z,New,2020-10-23T13:54:13Z,2020-10-28T13:54:13Z,Housing,Service Response,"200 HOMEWOOD TER, Baltimore City, 21218",21218,OAKENSHAWE,14,Northern,39.33165120709301,-76.6138398960804,NA,NA,NA,NA,2020-10-24,02:00:00,9S,200 E UNIVERSITY PKWY,SHOOTING,Outside,FIREARM,512,NORTHERN,CHARLES VILLAGE,STREET,1,NA,"c(-76.6138398960804, 39.331651207093)"
5004M00000ep4WcQAI,20-00577559,SW-HGW,API,2020-08-25T19:09:08Z,Open,2020-08-25T19:09:08Z,2020-10-07T19:09:08Z,Solid Waste,Service Response,"2931 OAKLEY AVE, Baltimore City, 21215",21215,CENTRAL PARK HEIGHTS,6,Northwestern,39.34794307451138,-76.66981638031633,NA,NA,NA,NA,2020-10-24,21:47:55,9S,2900 OAKLEY AV,SHOOTING,Outside,FIREARM,614,NORTHWEST,CENTRAL PARK HEIGHTS,PUBLIC AREA,1,NA,"c(-76.6698163803163, 39.3479430745114)"
5004M00000epJNMQA2,20-00585513,SW-HGW,API,2020-08-27T16:28:10Z,Open,2020-08-27T16:28:10Z,2020-10-09T16:28:10Z,Solid Waste,Service Response,"5012 PEMBRIDGE AVE, Baltimore City, 21215",21215,CENTRAL PARK HEIGHTS,6,Northwestern,39.349701496135495,-76.66993281919862,NA,NA,NA,NA,2020-10-24,21:47:55,9S,2900 OAKLEY AV,SHOOTING,Outside,FIREARM,614,NORTHWEST,CENTRAL PARK HEIGHTS,PUBLIC AREA,1,NA,"c(-76.6699328191986, 39.3497014961355)"
